solvent,D,P,H,epsilon,pi_star,HBD,HBA,logP_solv
DMAC,16.8,11.5,10.2,37.78,0.88,0,0.76,-0.77
Acetone,15.5,10.4,7,20.7,0.6,0.1,0.5,-0.21
DMSO,18.4,16.4,10.2,46.45,1,0,0.76,-1.38
DMF,17.4,13.7,11.3,36.7,0.88,0,0.69,-1.31
ACN,15.3,18,6.1,37.5,0.75,0.19,0.4,-0.39
NPA,16,6.8,17.4,20.45,0.52,0.84,0.9,0.36
tBuOH,15.2,5.1,14.7,12,0.41,0.42,0.93,0.58
EA,15.8,5.3,7.2,6.02,0.55,0,0.45,0.71
Dioxane,19,1.8,7.4,2.25,0.55,0,0.37,-0.27
THF,16.8,5.7,8,7.58,0.58,0,0.55,0.53
TEA,17.8,0.4,1,2.42,0.72,0,0.71,1.65
Ethanol,15.8,8.8,19.4,25.3,0.54,0.86,0.75,-0.24
IPA,15.8,6.1,16.4,19.92,0.48,0.76,0.84,0.05
