rxn_id_0.5g_3d_50C,solv_1,percent_1,solv_2,percent_2,valid_yield
Xf2346,DMAC,1.00,,,0.82
Xf2353,Acetone,1.00,,,0.72
Xf2345,DMSO,1.00,,,0.70
Xf2344,DMF,1.00,,,0.62
Xf2352,ACN,1.00,,,0.52
Xf2350,NPA,1.00,,,0.26
Xf2351,tBuOH,1.00,,,0.14
Xf2356,EA,1.00,,,0.01
xf2379,EA,0.20,acetone,0.80,0.35
xf2380,EA,0.40,acetone,0.60,0.59
xf2381,EA,0.60,acetone,0.40,0.04
xf2382,EA,0.80,acetone,0.20,0.20
xf2383,EA,0.20,tBuOH,0.80,0.25
xf2384,EA,0.40,tBuOH,0.60,0.23
xf2385,EA,0.60,tBuOH,0.40,0.29
xf2386,EA,0.80,tBuOH,0.20,0.25
xf2387,acetone,0.50,THF,0.50,0.64
xf2388,acetone,0.50,Dioxane,0.50,0.50
xf2389,acetone,0.50,TEA,0.50,0.82
xf2390,acetone,0.50,Ethanol,0.50,0.00
xf2391,acetone,0.50,IPA,0.50,0.53
Xf2347,TEA,1.00,,,0.00
Xf2348,Ethanol,1.00,,,0.00
Xf2349,IPA,1.00,,,0.00
Xf2354,THF,1.00,,,0.00
Xf2355,Dioxane,1.00,,,0.00
xf2392,DMSO,0.50,THF,0.50,0.63
xf2393,DMSO,0.50,Dioxane,0.50,0.60
xf2394,DMSO,0.50,TEA,0.50,0.72
xf2395,DMSO,0.50,Ethanol,0.50,0.00
xf2396,DMSO,0.50,IPA,0.50,0.62
